n,time,displacement,max_or_min
453,794.4844217,44.52,1
454,796.4185063,45.34,1
455,798.4044754,45.14,1
456,800.2522342,44.36,1
457,802.0960566,44.83,1
458,803.9240767,44.57,1
459,805.7811667,44.47,1
460,807.8530464,44.42,1
461,809.705281,44.73,1
462,811.5742721,44.26,1
463,813.4272119,44.31,1
464,815.3969428,44.57,1
465,817.1391494,44.36,1
466,819.1274623,44.57,1
467,821.0399567,44.62,1
468,822.9106249,44.16,1
469,824.7453048,44.21,1
470,826.5999252,44.31,1
471,828.5746469,44.21,1
472,830.4126632,44.05,1
473,832.4247107,44.57,1
474,834.2610313,44.47,1
475,836.1211774,44.05,1
476,837.9686953,44.16,1
477,839.9085497,44.52,1
478,841.7512326,43.9,1
479,843.7342536,44.05,1
480,845.5885474,44.31,1
481,847.4213058,44.31,1
482,849.4298031,44.36,1
483,851.2831935,44,1
484,853.1978354,44.62,1
485,855.0416333,43.95,1
486,857.0187015,44,1
487,858.8799443,44.67,1
488,860.749247,43.8,1
489,862.603064,43.9,1
490,864.445507,44.47,1
491,864.6838648,43.8,1
492,866.429161,43.85,1
493,868.3711163,43.93,1
494,870.2314095,44.16,1
495,871.9939439,43.73,1
496,872.1784794,43.69,1
497,873.9798619,44.16,1
498,875.8886773,44.05,1
499,877.7320229,44.16,1
500,879.7235159,43.85,1
501,881.576354,43.59,1
502,883.326378,44,1
503,883.4587881,44,1
504,885.3087928,44.05,1
505,887.2411298,43.54,1
506,889.1000351,44.05,1
507,890.939388,43.44,1
508,892.9382018,44,1
509,894.7899131,43.59,1
510,896.5916435,43.9,1
511,896.7236347,43.9,1
512,898.5897509,43.42,1
513,900.5085925,43.69,1
514,902.3058602,43.75,1
515,902.3656859,43.75,1
516,904.2377233,43.54,1
517,906.1033253,43.8,1
518,907.9296643,43.8,1
519,908.0556468,43.8,1
520,909.8787889,43.33,1
521,911.7433519,43.44,1
522,913.7546858,44.11,1
523,915.6216337,43.42,1
524,916.5265712,31.12,1
525,917.4534418,43.75,1
526,919.4334454,43.64,1
527,921.2250158,43.69,1
528,923.1259925,43.33,1
529,925.0594062,43.18,1
530,926.8927657,43.75,1
531,929.286426,43.49,1
532,930.9717357,43.69,1
533,932.8738539,44,1
534,934.9803924,43.54,1
535,936.3803262,43.11,1
536,938.3689176,43.33,1
537,940.2236604,43.44,1
538,942.2226657,43.18,1
539,944.163372,43.08,1
540,945.7913398,43.49,1
541,947.9194559,43.44,1
542,949.8894286,43.54,1
543,951.4629664,43.32,1
544,953.6006526,43.44,1
545,955.4684541,43.38,1
546,957.5142207,43.38,1
547,957.5464937,43.38,1
548,959.1046786,42.96,1
549,960.9265844,43.08,1
550,962.9056465,42.87,1
551,964.7997796,43.44,1
552,966.6825408,43.18,1
553,968.5432841,42.92,1
554,970.3373195,42.97,1
555,970.834227,42.97,1
556,972.2501988,43.26,1
557,974.2167527,42.9,1
558,976.1392333,43.21,1
559,978.1181104,43.75,1
560,979.7947873,43.23,1
561,982.131853,42.92,1
562,983.5984823,43.59,1
563,983.8300292,42.66,1
564,985.4686488,42.97,1
565,987.7576119,42.92,1
566,989.3885817,43.13,1
567,991.235398,42.82,1
568,993.127602,42.71,1
569,993.180181,42.71,1
570,995.120114,43.13,1
571,996.882946,42.77,1
572,999.058295,42.66,1
573,1001.085894,43.13,1
574,1002.732247,43.02,1
575,1004.541475,42.92,1
576,1006.330332,42.59,1
577,1008.248111,43.08,1
578,1010.344709,42.59,1
579,1011.941454,42.59,1
580,1012.38136,42.59,1
581,1013.698487,42.39,1
582,1013.968598,42.97,1
583,1016.095456,42.66,1
584,1017.709981,42.87,1
585,1019.649119,42.61,1
586,1021.559414,42.87,1
587,1023.762377,42.97,1
588,1025.335947,42.61,1
589,1027.357164,42.8,1
590,1029.355681,42.41,1
591,1030.913642,42.54,1
592,1032.881939,43.13,1
593,1034.758342,42.49,1
594,1036.659006,42.1,1
595,1036.722038,42.39,1
596,1038.449758,42.87,1
597,1040.296327,42.71,1
598,1042.273663,42.82,1
599,1044.123136,42.82,1
600,1046.336996,42.7,1
601,1048.305574,42.44,1
602,1049.776693,42.23,1
603,1051.757375,42.77,1
604,1053.585889,42.29,1
605,1055.442008,42.77,1
606,1057.315479,42.9,1
607,1059.34397,42.39,1
608,1061.78166,42.59,1
609,1062.992396,42.49,1
610,1063.989316,31.63,1
611,1065.045626,42.49,1
612,1066.816632,42.2,1
613,1068.738661,42.25,1
614,1070.596667,42.54,1
615,1071.646708,32.37,1
616,1072.564792,42.18,1
617,1073.374437,32.3,1
618,1074.450204,42.13,1
619,1076.30997,42.61,1
620,1078.245189,42.46,1
621,1080.113078,42.18,1
622,1081.984206,42.44,1
623,1083.810748,42.51,1
624,1085.778778,42.08,1
625,1087.739666,42.39,1
626,1089.449928,42.34,1
627,1091.543414,42.23,1
628,1093.310037,42.35,1
629,1095.248847,42.46,1
630,1097.12429,41.98,1
631,1099.118705,42.34,1
632,1100.779346,42.66,1
633,1102.858539,42.18,1
