,Unnamed: 0,Unnamed: 0.1,displacement,displacement_linearized,max_or_min,n,time
4,6,6.0,44.24,2.4235703562689066,0.31746_data (2).csv,,9.65738
5,7,7.0,42.59,2.2655146777571926,0.31746_data (2).csv,,11.66184
6,8,8.0,41.19,2.1085248428483423,0.31746_data (2).csv,,13.56676
0,2,2.0,57.77,3.2085263939363124,0.31746_data (3).csv,,1.7418799999999999
1,3,3.0,52.11,2.9487768466706488,0.31746_data (3).csv,,3.677
2,4,4.0,48.35,2.7293287650561004,0.31746_data (3).csv,,5.74845
3,5,5.0,45.26,2.504104396774156,0.31746_data (3).csv,,7.68098
4,6,6.0,43.59,2.3573193184377392,0.31746_data (3).csv,,9.63653
5,7,7.0,42.22,2.2183986497998047,0.31746_data (3).csv,,11.61209
6,8,8.0,41.63,2.152064309218612,0.31746_data (3).csv,,13.58283
0,6,6.0,58.52,3.2613321552648618,0.31746_data (4).csv,,3.25267
1,7,7.0,52.73,3.0103382005334915,0.31746_data (4).csv,,5.20555
2,8,8.0,52.73,3.0103382005334915,0.31746_data (4).csv,,5.27647
3,9,9.0,49.05,2.8102615008859706,0.31746_data (4).csv,,7.266539999999999
4,10,10.0,45.38,2.5606526239459604,0.31746_data (4).csv,,9.18238
5,11,11.0,44.33,2.4760561237637897,0.31746_data (4).csv,,11.19939
6,12,12.0,42.27,2.285872440901892,0.31746_data (4).csv,,13.115770000000001
0,3,3.0,57.97,3.176704070256867,0.42328_data (1).csv,,2.07423
1,4,4.0,51.29,2.849991078609841,0.42328_data (1).csv,,4.03
2,5,5.0,46.37,2.515082382256009,0.42328_data (1).csv,,6.0626
3,6,6.0,43.8,2.2821402757793536,0.42328_data (1).csv,,8.15477
4,7,7.0,41.46,2.0092373489209505,0.42328_data (1).csv,,10.07917
5,8,8.0,41.46,2.0092373489209505,0.42328_data (1).csv,,10.20831
6,9,9.0,40.89,1.9297267021054096,0.42328_data (1).csv,,12.17375
7,10,10.0,39.91,1.7762443312351783,0.42328_data (1).csv,,14.10909
8,11,11.0,39.91,1.7762443312351783,0.42328_data (1).csv,,14.23889
0,0,0.0,59.78,3.2390522111302187,0.42328_data (2).csv,,0.8320200000000001
1,1,1.0,51.34,2.8372951571094323,0.42328_data (2).csv,,2.8936900000000003
2,2,2.0,46.94,2.5392001061208638,0.42328_data (2).csv,,4.95348
3,3,3.0,43.52,2.224573024298862,0.42328_data (2).csv,,6.90212
4,4,4.0,43.42,2.2137027998377405,0.42328_data (2).csv,,7.17841
5,5,5.0,42.29,2.081880145239202,0.42328_data (2).csv,,8.96765
6,6,6.0,40.07,1.7577773341283431,0.42328_data (2).csv,,10.96221
7,7,7.0,40.33,1.8016326741651505,0.42328_data (2).csv,,13.09941
8,8,8.0,38.87,1.5259546972402236,0.42328_data (2).csv,,14.830929999999999
0,0,0.0,58.33,3.1832414044554924,0.42328_data (3).csv,,1.03509
1,1,1.0,51.24,2.8352597938731923,0.42328_data (3).csv,,3.16487
2,2,2.0,46.89,2.540406418326276,0.42328_data (3).csv,,5.17566
3,3,3.0,43.26,2.2032977944973107,0.42328_data (3).csv,,7.2081
4,4,4.0,41.67,2.010202023994801,0.42328_data (3).csv,,9.26173
5,5,5.0,40.84,1.8923323326698391,0.42328_data (3).csv,,11.23898
6,6,6.0,39.74,1.711059997246264,0.42328_data (3).csv,,13.0654
7,7,7.0,39.85,1.7307392438572309,0.42328_data (3).csv,,13.24862
0,0,0.0,60.65,3.2745114424152875,0.42328_data (4).csv,,1.01165
1,1,1.0,51.96,2.8758394286752167,0.42328_data (4).csv,,3.09615
2,2,2.0,46.84,2.535307389104012,0.42328_data (4).csv,,5.00025
3,3,3.0,46.84,2.535307389104012,0.42328_data (4).csv,,5.1509800000000014
4,4,4.0,43.78,2.2576201112170993,0.42328_data (4).csv,,7.0788600000000015
5,5,5.0,41.77,2.021588568714665,0.42328_data (4).csv,,9.162939999999999
6,6,6.0,41.05,1.9213700016217248,0.42328_data (4).csv,,11.07038
7,7,7.0,40.07,1.766494582496953,0.42328_data (4).csv,,13.1448
0,2,2.0,57.54,3.1584820530272366,0.5291_data (1).csv,,1.8252599999999999
1,3,3.0,47.92,2.6329561951913973,0.5291_data (1).csv,,3.8940099999999997
2,4,4.0,43.37,2.2369626946304284,0.5291_data (1).csv,,5.91817
3,5,5.0,41.86,2.0611304313890813,0.5291_data (1).csv,,8.02489
4,6,6.0,39.81,1.7586927682510072,0.5291_data (1).csv,,10.03228
5,7,7.0,38.56,1.516191316261447,0.5291_data (1).csv,,12.02179
6,8,8.0,38.56,1.516191316261447,0.5291_data (1).csv,,12.08675
7,10,10.0,37.89,1.3570828686891832,0.5291_data (1).csv,,14.0412
0,0,0.0,57.03,3.134274617821432,0.5291_data (2).csv,,1.3939
1,1,1.0,48.23,2.651265812028311,0.5291_data (2).csv,,3.5943300000000002
2,2,2.0,43.57,2.2525506208935195,0.5291_data (2).csv,,5.53785
3,3,3.0,41.0,1.9375850689541267,0.5291_data (2).csv,,7.6727300000000005
4,4,4.0,40.36,1.8408617024600584,0.5291_data (2).csv,,9.62515
5,5,5.0,38.87,1.5711058034694074,0.5291_data (2).csv,,11.720880000000001
6,6,6.0,38.92,1.5814429531829028,0.5291_data (2).csv,,13.770520000000001
0,0,0.0,56.72,3.1225134864371524,0.5291_data (3).csv,,1.2491700000000001
1,1,1.0,48.28,2.6576948952114643,0.5291_data (3).csv,,3.4316800000000005
2,2,2.0,44.31,2.331500251906188,0.5291_data (3).csv,,5.48928
3,3,3.0,41.51,2.0140189774612622,0.5291_data (3).csv,,7.5492
4,4,4.0,39.23,1.651226979689479,0.5291_data (3).csv,,9.3588
5,5,5.0,39.33,1.6702267761549745,0.5291_data (3).csv,,9.56831
6,6,6.0,38.45,1.4891606051913402,0.5291_data (3).csv,,11.58281
7,7,7.0,38.45,1.4891606051913402,0.5291_data (3).csv,,13.602479999999998
0,6,6.0,55.74,3.09217798800461,0.63491_data (1).csv,,3.8248
1,7,7.0,46.07,2.5140605117527013,0.63491_data (1).csv,,5.8800300000000005
2,8,8.0,41.2,2.0129004769785936,0.63491_data (1).csv,,8.06259
3,9,9.0,39.12,1.6873237020468577,0.63491_data (1).csv,,10.12964
4,10,10.0,38.04,1.4644112042948503,0.63491_data (1).csv,,12.187619999999999
5,11,11.0,37.16,1.2369227292594158,0.63491_data (1).csv,,14.313020000000002
0,2,2.0,55.76,3.1256540934643167,0.63491_data (2).csv,,4.04587
1,3,3.0,46.17,2.579063669655468,0.63491_data (2).csv,,6.21264
2,4,4.0,41.99,2.19775633170698,0.63491_data (2).csv,,8.35829
3,5,5.0,39.43,1.8632715965892697,0.63491_data (2).csv,,10.55756
4,6,6.0,37.73,1.5570465547629513,0.63491_data (2).csv,,12.48886
5,7,7.0,37.11,1.4170143971195772,0.63491_data (2).csv,,14.456629999999999
6,8,8.0,37.27,1.4550708569980717,0.63491_data (2).csv,,14.6436
0,0,0.0,55.27,3.095539056864318,0.63491_data (3).csv,,1.28824
1,1,1.0,46.56,2.5944445299528467,0.63491_data (3).csv,,3.32672
2,2,2.0,41.77,2.1516631314624943,0.63491_data (3).csv,,5.4885
3,3,3.0,39.38,1.826023692451315,0.63491_data (3).csv,,7.43593
4,4,4.0,39.38,1.826023692451315,0.63491_data (3).csv,,7.56493
5,5,5.0,37.56,1.479135136441806,0.63491_data (3).csv,,9.57136
6,6,6.0,36.94,1.3268489877908154,0.63491_data (3).csv,,11.68039
7,7,7.0,37.01,1.3452504734285131,0.63491_data (3).csv,,13.638570000000001
0,0,0.0,56.56,3.1407030344757794,0.63491_data (4).csv,,1.32318
1,1,1.0,46.1,2.5384565307831366,0.63491_data (4).csv,,3.37869
2,2,2.0,41.36,2.069405774484779,0.63491_data (4).csv,,5.52471
3,3,3.0,39.18,1.7474793119788048,0.63491_data (4).csv,,7.60635
4,4,4.0,37.68,1.4445904822262736,0.63491_data (4).csv,,9.669939999999999
5,5,5.0,37.68,1.4445904822262736,0.63491_data (4).csv,,9.7379
6,7,7.0,37.78,1.4679009340758116,0.63491_data (4).csv,,11.74187
7,8,8.0,36.8,1.2119753140448242,0.63491_data (4).csv,,13.644929999999999
